DP;DPNOM;DPMP;MPIO;year;total
25;Cundinamarca;25175;Chía;2015;126647 
25;Cundinamarca;25178;Chipaque;2015;8400 
25;Cundinamarca;25181;Choachí;2015;10729 
25;Cundinamarca;25183;Chocontá;2015;25257 
25;Cundinamarca;25200;Cogua;2015;22361 
25;Cundinamarca;25214;Cota;2015;24916 
25;Cundinamarca;25224;Cucunubá;2015;7479 
25;Cundinamarca;25245;El Colegio;2015;21832 
25;Cundinamarca;25258;El Peñón;2015;4805 
25;Cundinamarca;25260;El Rosal;2015;17254 
25;Cundinamarca;25269;Facatativá;2015;132106 
25;Cundinamarca;25279;Fomeque;2015;12214 
25;Cundinamarca;25281;Fosca;2015;7524 
25;Cundinamarca;25286;Funza;2015;75350 
25;Cundinamarca;25288;Fúquene;2015;5617 
25;Cundinamarca;25290;Fusagasugá;2015;134523 
25;Cundinamarca;25293;Gachala;2015;5715 
25;Cundinamarca;25295;Gachancipá;2015;14442 
25;Cundinamarca;25297;Gachetá;2015;11086 
25;Cundinamarca;25299;Gama;2015;3996 
25;Cundinamarca;25307;Girardot;2015;105085 
25;Cundinamarca;25312;Granada;2015;8685 
25;Cundinamarca;25317;Guachetá;2015;11385 
25;Cundinamarca;25320;Guaduas;2015;38366 
25;Cundinamarca;25322;Guasca;2015;14759 
25;Cundinamarca;25324;Guataquí;2015;2630 
25;Cundinamarca;25326;Guatavita;2015;6898 
25;Cundinamarca;25328;Guayabal de Siquima;2015;3638 
25;Cundinamarca;25335;Guayabetal;2015;4931 
25;Cundinamarca;25339;Gutiérrez;2015;4097 
25;Cundinamarca;25368;Jerusalén;2015;2679 
25;Cundinamarca;25372;Junín;2015;8610 
25;Cundinamarca;25377;La Calera;2015;27527 
25;Cundinamarca;25386;La Mesa;2015;31350 
25;Cundinamarca;25394;La Palma;2015;10727 
25;Cundinamarca;25398;La Peña;2015;7029 
25;Cundinamarca;25402;La Vega;2015;14230 
25;Cundinamarca;25407;Lenguazaque;2015;10268 
25;Cundinamarca;25426;Macheta;2015;6316 
25;Cundinamarca;25430;Madrid;2015;77627 
25;Cundinamarca;25436;Manta;2015;4719 
25;Cundinamarca;25438;Medina;2015;10108 
25;Cundinamarca;25473;Mosquera;2015;82750 
25;Cundinamarca;25483;Nariño;2015;2203 
25;Cundinamarca;25486;Nemocón;2015;13488 
25;Cundinamarca;25488;Nilo;2015;18384 
25;Cundinamarca;25489;Nimaima;2015;6679 
25;Cundinamarca;25491;Nocaima;2015;8004 
25;Cundinamarca;25506;Venecia;2015;4060 
25;Cundinamarca;25513;Pacho;2015;27179 
25;Cundinamarca;25518;Paime;2015;4502 
25;Cundinamarca;25524;Pandi;2015;5658 
25;Cundinamarca;25530;Paratebueno;2015;7726 
25;Cundinamarca;25535;Pasca;2015;12175 
25;Cundinamarca;25572;Puerto Salgar;2015;18688 
25;Cundinamarca;25580;Pulí;2015;2999 
25;Cundinamarca;25592;Quebradanegra;2015;4738 
25;Cundinamarca;25594;Quetame;2015;7141 
25;Cundinamarca;25596;Quipile;2015;8164 
25;Cundinamarca;25599;Apulo;2015;7812 
25;Cundinamarca;25612;Ricaurte;2015;9441 
25;Cundinamarca;25645;San Antonio del Tequendama;2015;13084 
25;Cundinamarca;25649;San Bernardo;2015;10670 
25;Cundinamarca;25653;San Cayetano;2015;5344 
25;Cundinamarca;25658;San Francisco;2015;9586 
25;Cundinamarca;25662;San Juan de Río Seco;2015;9670 
25;Cundinamarca;25718;Sasaima;2015;10688 
25;Cundinamarca;25736;Sesquilé;2015;13936 
25;Cundinamarca;25740;Sibaté;2015;38412 
25;Cundinamarca;25743;Silvania;2015;21984 
25;Cundinamarca;25745;Simijaca;2015;13077 
25;Cundinamarca;25754;Soacha;2015;511262 
25;Cundinamarca;25758;Sopó;2015;26769 
25;Cundinamarca;25769;Subachoque;2015;16117 
25;Cundinamarca;25772;Suesca;2015;17318 
25;Cundinamarca;25777;Supatá;2015;5022 
25;Cundinamarca;25779;Susa;2015;12302 
25;Cundinamarca;25781;Sutatausa;2015;5564 
25;Cundinamarca;25785;Tabio;2015;27033 
25;Cundinamarca;25793;Tausa;2015;8801 
25;Cundinamarca;25797;Tena;2015;8941 
25;Cundinamarca;25799;Tenjo;2015;19849 
25;Cundinamarca;25805;Tibacuy;2015;4828 
25;Cundinamarca;25807;Tibirita;2015;2950 
25;Cundinamarca;25815;Tocaima;2015;18387 
25;Cundinamarca;25817;Tocancipá;2015;31975 
25;Cundinamarca;25823;Topaipí;2015;4529 
25;Cundinamarca;25839;Ubalá;2015;10718 
25;Cundinamarca;25841;Ubaque;2015;6166 
25;Cundinamarca;25843;Villa de San Diego de Ubate;2015;38809 
25;Cundinamarca;25845;Une;2015;9196 
25;Cundinamarca;25851;Útica;2015;5008 
25;Cundinamarca;25862;Vergara;2015;7677 
